,Loeb_ko_sorted.bam,Loeb_wt_sorted.bam
60997714,7,14
60997715,5,12
60997716,7,12
60997717,6,12
60997718,6,12
60997719,6,12
60997720,6,12
60997721,3,15
60997722,3,10
60997723,3,10
60997724,1,10
60997725,1,10
60997726,1,10
60997727,1,10
60997728,1,10
60997729,1,3
60997730,0,3
60997731,0,3
60997732,0,3
60997733,0,3
60997734,0,3
60997735,0,3
60997736,0,2
60997737,0,2
60997738,0,2
60997739,0,2
60997740,0,3
60997741,0,3
60997742,19,11
60997743,18,12
60997744,19,12
60997745,21,25
60997746,30,26
60997747,31,27
60997748,31,30
60997749,31,44
60997750,184,55
60997751,184,66
60997752,184,69
60997753,234,71
60997754,234,71
60997755,235,69
60997756,236,69
60997757,235,69
60997758,233,70
60997759,234,68
60997760,233,71
60997761,232,69
60997762,231,69
60997763,233,71
60997764,230,71
60997765,229,69
60997766,229,69
60997767,225,71
60997768,227,71
60997769,220,67
60997770,222,64
60997771,224,67
60997772,214,54
60997773,147,43
60997774,145,43
60997775,148,39
60997776,145,8
60997777,1,1
60997778,1,0
60997779,0,0
60997780,1,0
60997781,1,0
60997782,1,3
60997783,1,3
60997784,1,3
60997785,1,3
60997786,1,3
60997787,1,0
60997788,1,0
60997789,1,3
60997790,1,3
60997791,1,3
60997792,9,3
60997793,9,3
60997794,9,3
60997795,7,3
60997796,9,3
60997797,9,3
60997798,9,3
60997799,10,3
60997800,10,3
60997801,9,3
60997802,10,2
60997803,10,3
60997804,10,3
60997805,10,3
60997806,10,3
60997807,10,22
60997808,10,30
60997809,11,61
60997810,14,69
60997811,13,80
60997812,11,82
60997813,12,82
60997814,12,81
60997815,12,79
60997816,12,77
60997817,12,80
60997818,4,78
60997819,9,89
60997820,14,89
60997821,21,87
60997822,21,88
60997823,19,88
60997824,21,88
60997825,20,87
60997826,19,88
60997827,21,86
60997828,149,85
60997829,153,81
60997830,150,81
60997831,164,81
60997832,162,69
60997833,166,67
60997834,163,69
60997835,230,58
60997836,228,53
60997837,223,51
60997838,225,53
60997839,224,76
60997840,224,73
60997841,224,53
60997842,224,53
60997843,228,53
60997844,236,54
60997845,228,54
60997846,228,55
60997847,226,140
60997848,227,176
60997849,226,171
60997850,218,165
60997851,223,156
60997852,222,157
60997853,223,154
60997854,222,157
60997855,222,155
60997856,222,155
60997857,221,153
60997858,215,151
60997859,216,147
60997860,217,133
60997861,103,127
60997862,25,123
60997863,25,123
60997864,20,123
60997865,18,121
60997866,16,122
60997867,16,121
60997868,15,121
60997869,16,122
60997870,16,122
60997871,7,121
60997872,7,122
60997873,7,121
60997874,7,122
60997875,7,121
60997876,7,89
60997877,7,87
60997878,7,87
60997879,6,0
60997880,6,0
60997881,0,0
60997882,0,0
60997883,0,0
60997884,0,0
60997885,0,0
60997886,0,0
60997887,0,0
60997888,0,0
60997889,0,0
60997890,0,0
60997891,0,0
60997892,0,0
60997893,0,0
60997894,0,0
60997895,0,0
60997896,0,0
60997897,0,0
60997898,0,0
60997899,0,0
60997900,0,0
60997901,0,0
60997902,0,0
60997903,0,0
60997904,0,0
60997905,0,0
60997906,0,0
60997907,0,0
60997908,0,0
60997909,0,0
60997910,0,0
60997911,3,0
60997912,3,0
60997913,3,0
60997914,3,0
60997915,3,0
60997916,3,0
60997917,3,0
60997918,3,0
60997919,3,0
60997920,3,0
60997921,3,0
60997922,3,0
60997923,3,0
60997924,3,0
60997925,3,0
60997926,3,0
60997927,3,0
60997928,3,0
60997929,3,0
60997930,3,0
60997931,3,0
60997932,3,0
60997933,3,0
60997934,3,0
60997935,0,0
60997936,0,0
60997937,0,0
60997938,0,0
60997939,0,0
60997940,0,0
60997941,0,0
60997942,0,0
60997943,0,0
60997944,0,0
60997945,0,0
60997946,0,0
60997947,0,0
60997948,0,0
60997949,0,0
60997950,0,0
60997951,0,3
60997952,7,3
60997953,7,2
60997954,6,2
60997955,23,1
60997956,24,3
60997957,23,12
60997958,25,13
60997959,26,13
60997960,26,16
60997961,25,16
60997962,26,16
60997963,25,16
60997964,26,16
60997965,26,16
60997966,26,16
60997967,26,16
60997968,29,17
60997969,31,16
60997970,29,17
60997971,29,16
60997972,31,16
60997973,30,19
60997974,45,19
60997975,45,19
60997976,45,18
60997977,157,18
60997978,156,23
60997979,138,24
60997980,137,23
60997981,134,23
60997982,134,24
60997983,129,22
60997984,131,20
60997985,130,10
60997986,131,11
60997987,131,7
60997988,131,6
60997989,131,7
60997990,131,7
60997991,131,7
60997992,129,7
60997993,130,7
60997994,128,7
60997995,128,7
60997996,128,7
60997997,130,22
60997998,129,21
60997999,132,21
60998000,138,21
60998001,121,20
60998002,115,20
60998003,116,32
60998004,115,32
60998005,19,28
60998006,19,38
60998007,19,40
60998008,18,40
60998009,23,42
60998010,23,41
60998011,25,40
60998012,24,39
60998013,24,41
60998014,23,41
60998015,23,40
60998016,24,39
60998017,21,39
60998018,21,39
60998019,21,39
60998020,21,40
60998021,21,39
60998022,21,38
60998023,21,39
60998024,21,38
60998025,21,37
60998026,21,37
60998027,21,38
60998028,18,38
60998029,18,36
60998030,9,14
60998031,6,14
60998032,5,5
60998033,5,2
60998034,4,0
60998035,5,0
60998036,5,0
60998037,0,0
60998038,0,0
60998039,0,0
60998040,0,0
60998041,0,0
60998042,0,0
60998043,0,0
60998044,0,0
60998045,0,0
60998046,0,0
60998047,0,0
60998048,0,0
60998049,0,0
60998050,0,0
60998051,0,0
60998052,0,0
60998053,0,0
60998054,0,0
60998055,0,0
60998056,0,0
60998057,0,0
60998058,0,0
60998059,1,0
60998060,1,0
60998061,1,0
60998062,1,0
60998063,1,0
60998064,1,0
60998065,1,0
60998066,1,0
60998067,1,0
60998068,1,0
60998069,1,0
60998070,1,0
60998071,1,0
60998072,43,0
60998073,42,0
60998074,41,0
60998075,42,0
60998076,42,0
60998077,43,0
60998078,44,0
60998079,45,0
60998080,45,0
60998081,45,0
60998082,45,0
60998083,45,0
60998084,45,0
60998085,44,0
60998086,44,0
60998087,44,0
60998088,44,0
60998089,44,0
60998090,44,0
60998091,44,0
60998092,44,0
60998093,43,0
60998094,44,0
60998095,44,0
60998096,44,0
60998097,44,0
60998098,44,0
60998099,44,0
60998100,42,0
60998101,43,0
60998102,41,0
60998103,2,0
60998104,2,0
60998105,2,0
60998106,2,0
60998107,2,0
60998108,2,0
60998109,2,0
60998110,0,0
60998111,0,0
60998112,0,0
60998113,0,0
60998114,0,0
60998115,0,0
60998116,0,0
60998117,0,0
60998118,0,0
60998119,0,0
60998120,0,0
60998121,0,0
60998122,0,0
60998123,0,0
60998124,0,0
60998125,0,0
60998126,0,0
60998127,0,0
60998128,31,0
60998129,30,0
60998130,31,0
60998131,30,0
60998132,31,0
60998133,30,0
60998134,31,0
60998135,31,0
60998136,31,0
60998137,31,0
60998138,30,0
60998139,30,0
60998140,31,0
60998141,31,47
60998142,30,47
60998143,31,47
60998144,31,47
60998145,30,47
60998146,31,47
60998147,31,47
60998148,31,47
60998149,31,47
60998150,31,46
60998151,31,46
60998152,30,46
60998153,29,46
60998154,29,46
60998155,28,45
60998156,0,46
60998157,0,46
60998158,0,46
60998159,0,46
60998160,0,46
60998161,0,34
60998162,0,34
60998163,0,34
60998164,0,34
60998165,0,34
60998166,0,34
60998167,0,34
60998168,0,34
60998169,0,34
60998170,0,34
60998171,0,34
60998172,0,39
60998173,0,38
60998174,0,5
60998175,0,5
60998176,0,5
60998177,0,5
60998178,0,5
60998179,0,5
60998180,0,13
60998181,0,13
60998182,0,13
60998183,0,13
60998184,0,13
60998185,0,13
60998186,0,13
60998187,0,12
60998188,0,13
60998189,0,13
60998190,0,13
60998191,0,13
60998192,0,13
60998193,0,13
60998194,0,13
60998195,0,13
60998196,0,13
60998197,0,13
60998198,0,13
60998199,0,14
60998200,0,9
60998201,0,9
60998202,0,10
60998203,0,10
60998204,0,4
60998205,0,3
60998206,0,3
60998207,0,4
60998208,0,4
60998209,0,3
60998210,0,4
60998211,0,4
60998212,2,4
60998213,2,4
60998214,1,4
60998215,2,4
60998216,2,4
60998217,2,4
60998218,2,4
60998219,1,4
60998220,38,11
60998221,37,9
60998222,37,9
60998223,38,8
60998224,36,8
60998225,39,10
60998226,41,28
60998227,76,35
60998228,74,37
60998229,73,37
60998230,75,42
60998231,77,44
60998232,72,45
60998233,74,45
60998234,72,44
60998235,75,48
60998236,73,52
60998237,75,63
60998238,71,63
60998239,73,77
60998240,75,116
60998241,74,122
60998242,74,139
60998243,74,138
60998244,74,146
60998245,74,149
60998246,73,138
60998247,72,130
60998248,72,128
60998249,69,122
60998250,41,107
60998251,57,107
60998252,28,106
60998253,27,106
60998254,27,106
60998255,27,106
60998256,27,105
60998257,23,94
60998258,23,95
60998259,23,97
60998260,23,60
60998261,23,59
60998262,23,57
60998263,23,59
60998264,23,48
60998265,23,75
60998266,23,74
60998267,23,73
60998268,23,62
60998269,23,63
60998270,22,63
60998271,22,61
60998272,22,64
60998273,22,60
60998274,22,59
60998275,22,60
60998276,24,63
60998277,24,61
60998278,31,60
60998279,31,60
60998280,29,64
60998281,28,65
60998282,14,65
60998283,20,65
60998284,20,65
60998285,25,64
60998286,24,64
60998287,25,64
60998288,23,63
60998289,25,69
60998290,29,74
60998291,28,78
60998292,28,90
60998293,30,96
60998294,31,94
60998295,30,96
60998296,30,98
60998297,31,101
60998298,23,48
60998299,23,48
60998300,24,51
60998301,24,50
60998302,24,45
60998303,19,46
60998304,19,46
60998305,19,47
60998306,18,46
60998307,19,51
60998308,17,50
60998309,17,51
60998310,17,58
60998311,12,58
60998312,12,58
60998313,12,57
60998314,7,57
60998315,0,60
60998316,0,56
60998317,0,46
60998318,0,42
60998319,0,27
60998320,0,21
60998321,0,23
60998322,0,22
60998323,0,20
60998324,0,18
60998325,0,16
60998326,0,16
60998327,0,16
60998328,0,16
60998329,0,16
60998330,0,16
60998331,0,16
60998332,0,16
60998333,0,12
60998334,0,12
60998335,0,12
60998336,0,12
60998337,0,12
60998338,0,4
60998339,0,4
60998340,0,3
60998341,0,4
60998342,0,3
60998343,0,4
60998344,0,4
60998345,0,4
60998346,0,1
60998347,0,1
60998348,0,1
60998349,0,0
60998350,0,0
60998351,0,0
60998352,0,0
60998353,0,0
60998354,0,0
60998355,0,0
60998356,0,0
60998357,0,0
60998358,0,0
60998359,0,0
60998360,0,0
60998361,0,0
60998362,0,0
60998363,0,0
60998364,0,0
60998365,0,0
60998366,0,0
60998367,0,0
60998368,0,0
60998369,0,0
60998370,0,0
60998371,0,0
60998372,0,0
60998373,0,0
60998374,0,0
60998375,0,0
60998376,0,0
60998377,0,0
60998378,0,0
60998379,0,0
60998380,0,0
60998381,0,0
60998382,0,0
60998383,0,0
60998384,0,0
60998385,0,0
60998386,0,0
60998387,0,0
60998388,0,0
60998389,0,0
60998390,0,0
60998391,0,0
60998392,0,0
60998393,0,0
60998394,0,0
60998395,0,0
60998396,0,0
60998397,0,0
60998398,0,0
60998399,0,0
60998400,0,0
60998401,0,0
60998402,0,0
60998403,0,0
60998404,0,0
60998405,0,0
60998406,0,0
60998407,0,0
60998408,0,0
60998409,0,14
60998410,0,13
60998411,0,14
60998412,0,14
60998413,0,13
60998414,0,14
60998415,0,14
60998416,0,14
60998417,0,13
60998418,0,14
60998419,0,14
60998420,0,14
60998421,0,14
60998422,0,14
60998423,0,14
60998424,0,14
60998425,0,13
60998426,0,13
60998427,0,12
60998428,0,14
60998429,0,12
60998430,0,14
60998431,0,14
60998432,0,14
60998433,0,14
60998434,0,1
60998435,0,1
60998436,0,1
60998437,0,1
60998438,0,1
60998439,0,1
60998440,0,1
60998441,0,1
60998442,0,1
60998443,0,1
60998444,0,0
60998445,0,0
60998446,0,0
60998447,0,0
60998448,0,117
60998449,0,117
60998450,0,118
60998451,0,117
60998452,0,117
60998453,0,116
60998454,0,116
60998455,0,117
60998456,0,114
60998457,0,116
60998458,0,117
60998459,0,114
60998460,0,115
60998461,0,116
60998462,0,118
60998463,0,118
60998464,0,118
60998465,0,118
60998466,0,118
60998467,0,118
60998468,0,118
60998469,6,1
60998470,6,1
60998471,6,1
60998472,6,1
60998473,6,1
60998474,6,2
60998475,6,2
60998476,6,2
60998477,6,2
60998478,6,2
60998479,6,2
60998480,6,2
60998481,6,2
60998482,6,2
60998483,5,2
60998484,6,2
60998485,6,2
60998486,6,1
60998487,6,1
60998488,5,1
60998489,6,1
60998490,6,1
60998491,6,11
60998492,8,16
60998493,8,18
60998494,3,17
60998495,3,26
60998496,3,29
60998497,3,29
60998498,3,29
60998499,3,37
60998500,4,50
60998501,4,49
60998502,4,48
60998503,4,47
60998504,4,47
60998505,4,49
60998506,4,47
60998507,4,47
60998508,4,48
60998509,4,48
60998510,4,51
60998511,4,52
60998512,4,52
60998513,4,64
60998514,4,67
60998515,28,69
60998516,28,85
60998517,29,88
60998518,29,89
60998519,30,93
60998520,31,96
60998521,31,96
60998522,32,97
60998523,32,112
60998524,30,72
60998525,29,72
60998526,32,70
60998527,32,69
60998528,31,66
60998529,32,64
60998530,31,64
60998531,31,65
60998532,31,68
60998533,31,57
60998534,31,55
60998535,31,65
60998536,40,64
60998537,41,65
60998538,41,68
60998539,41,71
60998540,37,72
60998541,38,72
60998542,40,74
60998543,21,68
60998544,27,58
60998545,17,57
60998546,15,53
60998547,18,56
60998548,18,57
60998549,17,48
60998550,15,47
60998551,17,45
60998552,17,32
60998553,17,33
60998554,16,30
60998555,17,32
60998556,17,32
60998557,16,33
60998558,17,32
60998559,16,30
60998560,17,27
60998561,15,26
60998562,15,26
60998563,11,26
60998564,12,26
60998565,14,76
60998566,13,67
60998567,6,62
60998568,6,61
60998569,6,60
60998570,6,58
60998571,6,59
60998572,6,54
60998573,4,49
60998574,4,48
60998575,4,48
60998576,4,46
60998577,4,47
60998578,6,50
60998579,5,48
60998580,5,49
60998581,5,49
60998582,5,50
60998583,5,51
60998584,14,57
60998585,50,71
60998586,53,90
60998587,61,114
60998588,60,113
60998589,62,111
60998590,63,112
60998591,60,109
60998592,62,108
