,miR29_WT_Th2.bam,miR29_KO_Th2.bam
60990714,0,0
60990715,0,0
60990716,0,0
60990717,0,0
60990718,0,0
60990719,0,0
60990720,0,0
60990721,0,0
60990722,0,0
60990723,0,0
60990724,0,0
60990725,0,0
60990726,0,0
60990727,0,0
60990728,0,0
60990729,0,0
60990730,0,0
60990731,0,0
60990732,0,0
60990733,0,0
60990734,0,0
60990735,0,0
60990736,0,0
60990737,0,0
60990738,0,0
60990739,0,0
60990740,0,0
60990741,0,0
60990742,0,0
60990743,0,0
60990744,0,0
60990745,0,0
60990746,0,0
60990747,0,0
60990748,0,0
60990749,0,0
60990750,0,0
60990751,0,0
60990752,0,0
60990753,0,0
60990754,0,0
60990755,0,0
60990756,0,0
60990757,0,0
60990758,0,0
60990759,1,0
60990760,1,0
60990761,0,0
60990762,1,0
60990763,1,0
60990764,1,0
60990765,1,0
60990766,1,0
60990767,1,0
60990768,1,0
60990769,1,0
60990770,1,0
60990771,1,0
60990772,1,0
60990773,1,0
60990774,1,0
60990775,1,0
60990776,1,0
60990777,1,0
60990778,1,0
60990779,0,0
60990780,0,0
60990781,0,0
60990782,0,0
60990783,0,0
60990784,0,0
60990785,0,0
60990786,0,0
60990787,0,0
60990788,0,0
60990789,0,0
60990790,0,0
60990791,0,0
60990792,0,0
60990793,0,0
60990794,0,0
60990795,0,0
60990796,0,0
60990797,0,0
60990798,0,0
60990799,0,0
60990800,0,0
60990801,0,0
60990802,0,0
60990803,0,0
60990804,0,0
60990805,0,0
60990806,0,0
60990807,0,0
60990808,0,0
60990809,0,0
60990810,0,0
60990811,0,0
60990812,0,0
60990813,0,0
60990814,0,0
60990815,0,0
60990816,0,0
60990817,0,0
60990818,0,0
60990819,0,0
60990820,0,0
60990821,0,0
60990822,0,0
60990823,0,0
60990824,0,0
60990825,0,0
60990826,0,0
60990827,0,0
60990828,0,0
60990829,0,0
60990830,0,0
60990831,0,0
60990832,0,0
60990833,0,0
60990834,0,0
60990835,0,0
60990836,0,0
60990837,0,0
60990838,0,0
60990839,0,0
60990840,0,0
60990841,0,0
60990842,0,0
60990843,0,0
60990844,0,0
60990845,0,0
60990846,0,0
60990847,0,0
60990848,0,0
60990849,0,0
60990850,0,0
60990851,0,0
60990852,0,0
60990853,0,0
60990854,0,0
60990855,0,0
60990856,0,0
60990857,0,0
60990858,0,0
60990859,0,0
60990860,0,0
60990861,0,0
60990862,0,0
60990863,0,0
60990864,0,0
60990865,0,0
60990866,0,0
60990867,0,0
60990868,0,0
60990869,0,0
60990870,0,0
60990871,0,0
60990872,0,0
60990873,0,0
60990874,0,0
60990875,0,0
60990876,0,0
60990877,0,0
60990878,0,0
60990879,0,0
60990880,0,0
60990881,0,0
60990882,0,0
60990883,0,0
60990884,0,0
60990885,0,0
60990886,0,0
60990887,0,0
60990888,0,0
60990889,0,0
60990890,0,0
60990891,0,0
60990892,0,0
60990893,0,0
60990894,0,0
60990895,0,0
60990896,0,0
60990897,0,0
60990898,0,0
60990899,0,0
60990900,0,0
60990901,0,0
60990902,0,0
60990903,0,0
60990904,0,0
60990905,0,0
60990906,0,0
60990907,0,0
60990908,0,0
60990909,0,0
60990910,0,0
60990911,0,0
60990912,0,0
60990913,0,0
60990914,0,0
60990915,0,0
60990916,0,0
60990917,0,0
60990918,0,0
60990919,0,0
60990920,0,0
60990921,0,0
60990922,0,0
60990923,0,0
60990924,0,0
60990925,0,0
60990926,0,0
60990927,0,0
60990928,0,0
60990929,0,0
60990930,0,0
60990931,0,0
60990932,0,0
60990933,0,0
60990934,0,0
60990935,0,0
60990936,0,0
60990937,0,0
60990938,0,0
60990939,0,0
60990940,0,0
60990941,0,0
60990942,0,0
60990943,0,0
60990944,0,0
60990945,0,0
60990946,0,0
60990947,0,0
60990948,0,0
60990949,0,0
60990950,0,0
60990951,0,0
60990952,0,0
60990953,0,0
60990954,0,0
60990955,0,0
60990956,0,0
60990957,0,0
60990958,0,0
60990959,0,0
60990960,0,0
60990961,0,0
60990962,0,0
60990963,0,0
60990964,0,0
60990965,0,0
60990966,0,0
60990967,0,0
60990968,0,0
60990969,0,0
60990970,0,0
60990971,0,0
60990972,0,0
60990973,0,0
60990974,0,0
60990975,0,0
60990976,0,0
60990977,0,0
60990978,0,0
60990979,0,0
60990980,0,0
60990981,0,0
60990982,0,0
60990983,0,0
60990984,0,0
60990985,0,0
60990986,0,0
60990987,0,0
60990988,0,0
60990989,0,0
60990990,0,0
60990991,0,0
60990992,0,0
60990993,0,0
60990994,0,0
60990995,0,0
60990996,0,0
60990997,0,0
60990998,0,0
60990999,0,0
60991000,0,0
60991001,0,0
60991002,0,0
60991003,0,0
60991004,0,0
60991005,0,0
